name,city,postal_code,street,building_number,managed_by
Gabinety Drej,Tarnów,41-473,Górna,76,54
Pleban-Gasz Sp.j.,Giżycko,17-504,Staffa,86,109
PPUH Wajdzik,Jastrzębie-Zdrój,95-960,Stycznia,538,70
FPUH Leks-Biegała i syn s.c.,Wągrowiec,28-354,Urocza,37,8
PPUH Rudyk,Bochnia,07-518,Królewska,413,29
Stowarzyszenie Baumgart s.c.,Nowy Dwór Mazowiecki,16-017,Szewska,874,27
Gabinety Pytlarz,Sandomierz,64-904,Rolna,755,86
Stowarzyszenie Dworczak-Hudzik Sp. z o.o.,Pabianice,14-450,Wolności,734,94
Stowarzyszenie Jachna,Bochnia,16-933,Wysoka,20,75
Dylong Sp. z o.o. Sp.k.,Mińsk Mazowiecki,07-325,Porzeczkowa,345,92
FPUH Koleśnik Sp. z o.o. Sp.k.,Łomża,55-396,Wyspiańskiego,965,96
Stowarzyszenie Maślach-Lesiewicz i syn s.c.,Koszalin,96-458,Ciasna,60,71
Tomzik-Nurek Sp.k.,Sochaczew,80-858,Letniskowa,78/19,79
Grupa Sych,Głogów,83-095,Dobra,93/82,82
Fundacja Cogiel-Sołoducha Sp. z o.o. Sp.k.,Chojnice,31-159,Widokowa,995,112
FPUH Zygmuntowicz,Środa Wielkopolska,90-799,Batalionów Chłopskich,95,110
Dziadura-Wykręt i syn s.c.,Zielona Góra,63-012,Zamkowa,54,6
Piekarek-Wiesiołek i syn s.c.,Tarnowskie Góry,72-415,Górska,396,24
FPUH Ksel i syn s.c.,Pszczyna,62-210,Morelowa,597,2
Nazar-Taczała Sp. z o.o. Sp.k.,Chorzów,60-092,Turkusowa,43,19
Grupa Matyka-Chyb s.c.,Gdańsk,33-911,Asnyka,140,101
Fundacja Handzel S.A.,Inowrocław,02-382,Szkolna,09,105
Owsiak-Preuss i syn s.c.,Gdynia,27-850,Armii Krajowej,08,38
Rosołek Sp.j.,Zabrze,93-380,Żabia,101,90
Stowarzyszenie Wojaczek,Chojnice,99-350,Mostowa,72/50,84
Spółdzielnia Tylek i syn s.c.,Starogard Gdański,71-945,Sportowa,53,36
FPUH Pich Sp. z o.o.,Olkusz,56-375,Kazimierza Wielkiego,16,89
Grupa Kłoczko Sp.k.,Piastów,55-423,Kasztanowa,23,73
Salwin-Wołkowicz Sp. z o.o. Sp.k.,Wieluń,05-563,Kazimierza Wielkiego,54,81
Stowarzyszenie Fijałek S.A.,Krotoszyn,67-944,Wysoka,48,57
Fundacja Świech,Będzin,73-167,Jeżynowa,403,95
Fundacja Engler,Zielona Góra,40-113,Niecała,24,13
Gabinety Czupryna-Kreczmer Sp. z o.o.,Czechowice-Dziedzice,96-142,Sybiraków,239,88
Fundacja Ruchała-Kuropatwa i syn s.c.,Kluczbork,41-185,Sienkiewicza,22,45
Smutek Sp.k.,Kutno,37-979,Kwiatowa,317,68
Grupa Misiurek i syn s.c.,Olsztyn,19-697,Szeroka,69/70,120
FPUH Skrzecz-Stasica S.A.,Szczytno,28-984,Tuwima,14,51
PPUH Jereczek,Bielsk Podlaski,08-869,Lipca,14/78,15
Fundacja Juśkiewicz,Częstochowa,23-660,Orzeszkowej,92,64
Fundacja Garncarek Sp.k.,Ostróda,78-877,Mickiewicza,372,59
Stowarzyszenie Włodarz,Police,53-937,Bolesława Chrobrego,22,10
Grupa Kuza S.A.,Bielawa,90-247,Broniewskiego,52,46
Spółdzielnia Domoń,Tychy,07-501,Spacerowa,64,103
Stowarzyszenie Wyrwich,Zgorzelec,71-279,Środkowa,249,60
Gabinety Leoniak-Sobisz Sp. z o.o. Sp.k.,Jawor,73-729,Szymanowskiego,985,83
Spółdzielnia Gogacz,Krosno,45-375,Orla,89/53,117
FPUH Nazar-Dobosiewicz S.A.,Ruda Śląska,61-173,Wschodnia,925,58
Grupa Żelazo-Koźlak Sp. z o.o. Sp.k.,Wejherowo,10-892,Warszawska,78,56
Spółdzielnia Kuba-Duniec Sp. z o.o.,Inowrocław,58-817,Żeglarska,062,44
Walus-Barej Sp. z o.o.,Skarżysko-Kamienna,73-061,Kielecka,27,25
Szczap-Grotek s.c.,Siemianowice Śląskie,21-844,Ptasia,28/30,34
Gabinety Domżał-Gęca Sp. z o.o. Sp.k.,Sosnowiec,86-556,Piękna,923,50
Gabinety Wołos,Wągrowiec,42-725,Skrajna,80/98,102
Stowarzyszenie Ragus s.c.,Wałbrzych,76-446,Młyńska,91,12
Kierepka-Kuśnierek Sp.j.,Dąbrowa Górnicza,61-521,Bolesława Krzywoustego,23,69
Rzucidło s.c.,Sanok,86-194,Krasińskiego,98,116
