name,departmentlocationid
rzymski,77
z krwi i kości,95
ocena,22
wolność,2
Słowacja,98
wielki,120
pisanie,40
luty,54
polować,71
biblioteka,81
połowa,43
jedynie,90
rozmowa,83
mierzyć,96
kamień,50
ciągnąć,55
głupek,23
obywatel,97
odwaga,91
zwyczaj,34
chłop,9
obchodzić,35
sygnał,46
opieka,5
mieć na imię,40
spokój,49
zgoda,13
ludzie,67
Niemcy,19
powolny,63
turecki,8
wąski,104
mieć,60
impreza,83
sklep,112
związać,97
pasmo,23
produkować,76
rzucać,2
kupić,28
grecki,35
długo,67
internetowy,73
spotkać,6
różowy,85
czterdzieści,96
wykonać,104
przyszłość,13
sobie,39
Australia,55
ponownie,56
USA,80
nawet,96
ucho,8
ślub,54
mierzyć,65
mysz,115
ze,85
zapach,49
Litwa,13
ciotka,29
lekcja,57
bez,84
śmiać się,3
mężczyzna,104
młody,44
niezwykły,51
wydawać się,79
żona,102
kierowca,66
administracyjny,103
charakterystyczny,86
funkcja,2
robota,31
przebywać,78
rozmawiać,64
dwanaście,4
plaża,111
być,99
archipelag,27
gdyby,22
lek,58
późny,88
Chiny,88
plac,12
biskup,106
zazwyczaj,86
choroba,26
koniec,104
administracyjny,18
dziewięćdziesiąt,37
byk,109
ubogi,17
zaś,116
pięćdziesiąt,1
późno,82
podnosić,119
Warszawa,20
pasek,106
słaby,78
zimny,77
stawać się,60
łączyć,5
brak,51
przeciwnik,14
Holandia,107
pewny,52
wada,46
ponownie,95
potrafić,36
kosztować,10
trochę,92
wakacje,9
piętnaście,78
amharski,63
zaburzenie,115
kawałek,58
właściwy,52
elektryczny,68
początek,87
piękny,73
zawartość,37
profesor,55
trochę,67
polski,11
zaburzenie,82
zbiornik,16
ogon,8
krzew,108
spać,71
aktywny,27
szlachetny,99
książka,75
rzeczywistość,96
butelka,10
bilet,104
szkoła,45
umożliwiać,92
gorący,90
doskonały,73
w formie,94
kwestia,32
telefon,98
węgiel,9
dobro,83
egzamin,43
transport,10
autor,4
gospodarczy,13
sprzęt,21
koniec,103
dorosły,65
Wielka Brytania,22
zegar,22
sposób,25
oddział,54
pisać,15
ty,98
lina,114
zboże,87
okoliczność,39
uzyskać,27
mieszkać,65
nowy,21
otwierać,6
znać,10
staw,37
zawód,114
wykonywać,96
pomagać,81
pojedynczy,93
autor,36
większość,54
bądź,97
wreszcie,56
prąd,57
moneta,111
ruch,86
gospodarczy,71
ziemski,87
układ okresowy,47
skóra,41
płakać,12
znaczenie,33
poprzez,17
wygrać,87
ci,96
-,54
wygląd,62
wyspa,62
spać,60
czysty,7
narkotyk,79
specjalny,98
dziewięć,77
wykonać,28
choroba,100
modlitwa,102
nasz,107
talerz,26
lew,113
pająk,24
szybki,105
dlaczego,29
ci,100
polegać,21
sprawa,20
powiat,66
znany,13
wtorek,34
oczywiście,12
Grecja,65
problem,36
sztuka,88
przedmiot,38
malować,42
św.,63
kto,101
rząd,61
przerwa,93
20,77
piękny,102
plecy,3
syn,27
dane,105
drogi,69
Żyd,80
karta,55
ofiara,119
grać,18
podnieść,25
grób,85
przeszłość,13
uważać,5
wiedzieć,42
ciężki,37
większy,60
rzeka,21
amerykański,77
gatunek,89
norma,116
relacja,110
duński,120
daleki,6
zwycięstwo,93
skłonność,88
–,12
podłoga,26
wreszcie,79
wrogość,114
sos,101
diabeł,43
rozmowa,91
półwysep,18
znajdować się,26
toponim,76
wprowadzać,11
woda,73
pozycja,103
wzrok,62
mieszkać,97
urodzić się,55
fizyczny,34
około,69
metal,36
duch,97
położyć,80
wykorzystywać,53
USA,71
średniowieczny,70
większy,76
obrót,21
aktor,97
prasa,90
katolicki,42
przyjąć,50
ziemski,61
Hiszpania,47
np.,65
sprawa,114
jezioro,36
zjeść,55
rezultat,94
urodzić,62
dusza,95
bilet,83
zajmować się,74
znaczyć,109
cebula,15
wiedzieć,114
parlament,62
poważny,47
czytać,56
wspólnota,92
kuchnia,60
wymagać,94
głos,53
kształt,42
pieniądz,71
wódka,46
korona,83
składać się,105
środek,30
wysyłać,77
sądzić,64
odnosić się,29
łąka,2
hiszpański,89
zbierać,79
polegać,27
mieszkać,100
słoneczny,12
razem,41
znaczny,87
czy,33
dusza,117
ozdoba,112
konstrukcja,115
