name,description,price,duration,available_to_purchase
zajmować,Żołnierz gatunek kolacja zwycięstwo.,36.86,12,True
czyli,Jajo 900 Czechy rynek źle powstać.,14.07,11,False
akcja,Ono muzyczny założyć smutny amharski.,82.62,4,True
błąd,Organizacja — rezultat u kij południe sąd.,30.74,4,True
orzeł,Niebo gniew wprowadzać coś.,97.41,12,True
położenie,Dzielić postać opinia północny zawodnik święty.,91.77,5,False
rozmawiać,Górny skrzydło znaczyć rana.,58.94,9,True
pozostawać,Właściciel średni wrogość bydło wysiłek Żyd.,66.19,5,False
delikatny,Wiersz dziesięć niech wesoły.,83.89,1,False
stado,Założyć żart napisać wszelki.,30.8,9,False
szósty,Klucz wreszcie obszar papieros długi.,22.05,8,False
stały,Wyścig palić jakość wykonać powiat działać.,30.3,9,False
siedem,Stado wróg istnienie autor.,22.93,6,True
literacki,Miara stworzyć wczesny.,88.87,3,False
kij,Niebieski właściciel zawsze.,83.45,1,False
